name,category,address,lat,lng,benefitValue,discountPercent,benefit_source_url,benefit_note,address_enriched
메덩골정원,관광지,경기 양평군 양동면 메덩골길 43,37.4966026745246,127.727460679032,,,,,경기 양평군 양동면 메덩골길 43
미사경정공원,관광지,경기도 하남시 미사대로 505 미사경정공원,37.5536259052614,127.213229587651,,,,,경기 하남시 미사대로 505
안성낙원역사공원,관광지,경기도 안성시 낙원길 78,37.005363965062,127.273240491473,,,,,경기 안성시 낙원길 78
안성성당,관광지,경기도 안성시 혜산로 33,37.0108390040861,127.274530323766,,,,,경기 안성시 혜산로 33
금광호수 하늘전망대,관광지,경기도 안성시 금광면 오흥리 831-2,36.9951827128308,127.333608609459,,,,,경기 안성시 금광면 오흥리 831-2
안양시 스마트도시통합센터,관광지,경기 안양시 동안구 평촌대로243번길 42,37.3925885354926,126.952292977773,,,,,경기 안양시 동안구 평촌대로243번길 42
일영역(장흥면 구역사),관광지,경기 양주시 장흥면 일영로647번길 25,37.7003212095614,126.92902298015,,,,,경기 양주시 장흥면 일영로647번길 25
DMZ천년꽃차(DMZ라운지),관광지,경기 파주시 탄현면 새오리로161번길 90,37.8003987249914,126.683586147737,,,,,경기 파주시 탄현면 새오리로161번길 90
부천문화원,관광지,경기도 부천시 경인로92번길 33,37.4825079437298,126.766558698313,,,,,경기 부천시 소사구 경인로92번길 33
부천아트센터,관광지,경기 부천시 원미구 소향로 165,37.5022385225392,126.766514925493,,,,,경기 부천시 원미구 소향로 165
화성치즈학교,관광지,경기 화성시 우정읍 기아자동차로 189-2,37.0456031568529,126.759932932139,,,,,경기 화성시 우정읍 기아자동차로 189-2
자연테마식물원,관광지,경기 평택시 오성면 청오로 33-58,37.0146052512303,126.981159315686,,,,,경기 평택시 오성면 청오로 33-58
경기도자미술관,관광지,경기 이천시 경충대로2697번길 263,37.27692876208,127.423702790779,,,,,경기 이천시 경충대로2697번길 263
곤지암렌탈샵 메가폰 스키,관광지,경기 광주시 도척면 도척윗로 212,37.3365995197934,127.318770844382,,,,,경기 광주시 도척면 도척윗로 212
곤지암렌탈샵 W스키,관광지,경기 광주시 도척면 도척윗로 166,37.3385291319724,127.323395892213,,,,,경기 광주시 도척면 도척윗로 166
한국은행 경기본부 화폐전시실,관광지,경기 수원시 영통구 센트럴타운로 35,37.2893474869942,127.055366074326,,,,,경기 수원시 영통구 센트럴타운로 35
배상면주가술박물관(산사원),관광지,경기 포천시 화현면 화동로432번길 25,37.9059956872132,127.309904875075,,,,,경기 포천시 화현면 화동로432번길 25
김포독립운동기념관,관광지,경기도 김포시 양촌읍 양곡2로30번길 46,37.6533398361512,126.629400313656,,,,,경기 김포시 양촌읍 양곡2로30번길 46
경기 남양주 조안 [슬로시티],관광지,경기도 남양주시 조안면 북한강로 413,37.5590119406959,127.312510347294,,,,,경기 남양주시 조안면 북한강로 413
시화나래조력공원,관광지,경기도 안산시 단원구 대부동동,37.2490239111332,126.601617400799,,,,,경기 안산시 단원구 대부동동
대명포구,관광지,경기 김포시 대곶면 대명항1로 109,37.6393819731761,126.541735509641,,,,,경기 김포시 대곶면 대명항1로 109
의정부 부대찌개거리,관광지,경기도 의정부시 호국로1309번길 7,37.7440925757108,127.049492945846,,,,,경기 의정부시 호국로1309번길 7
좋은술(천비향),관광지,경기 평택시 오성면 숙성뜰길 108,37.0004932679597,126.989393344952,,,,,경기 평택시 오성면 숙성뜰길 108
숲해설,관광지,경기 용인시 처인구 모현읍 초부로 220,37.3148737194702,127.267844163237,,,,,경기 용인시 처인구 모현읍 초부로 220
용인목재문화체험장,관광지,경기 용인시 처인구 모현읍 초부로220,37.3148737194702,127.267844163237,,,,,경기 용인시 처인구 모현읍 초부로 220
여성회관,관광지,경기 용인시 수지구 문정로7번길 15,37.3205247736357,127.095498971611,,,,,경기 용인시 수지구 문정로7번길 15
화야캠핑장,관광지,경기 가평군 설악면 유명로 1907-41,37.6808225260733,127.46895205721,,,,,경기 가평군 설악면 유명로 1907-41
화산서원,관광지,경기 포천시 가산면 가산로 227-40,37.8416491932635,127.175683598734,,,,,경기 포천시 가산면 가산로 227-40
어린이비전센터 사계절썰매장,관광지,경기도 남양주시 진접읍 해밀예당1로 96,37.7170905053399,127.191048764122,,,,,경기 남양주시 진접읍 해밀예당1로 96
미리내성지,관광지,경기 안성시 양성면 미리내성지로 420,37.1484307809296,127.259142006848,,,,,경기 안성시 양성면 미리내성지로 420
물환경전시관,관광지,경기 광주시 남종면 산수로 1692,37.4995886967686,127.303027942004,,,,,경기 광주시 남종면 산수로 1692
노성산 말머리바위,관광지,경기도 이천시 설성면 진상미로 238-7,,,,,,,
나만갑선생신도비,관광지,경기도 구리시 사노동 산163,37.6347439912687,127.135134433185,,,,,경기 구리시 사노동 산 163
글램핑클럽레스피아 in 포천백운계곡,관광지,경기도 포천시 이동면 화동로 2440-36,38.0602175401205,127.388005554297,,,,,경기 포천시 이동면 화동로 2440-36
그랑꼬또 와이너리,관광지,경기 안산시 단원구 뻐꾹산길 107,37.2574713893254,126.582545230378,,,,,경기 안산시 단원구 뻐꾹산길 107
가평 물골 숲 계곡 캠핑장,관광지,경기 가평군 상면 물골길 120,37.836755744831,127.314321709563,,,,,경기 가평군 상면 물골길 120
한강이 끝나는 곳에 있는 김포,관광지,경기도 김포시,37.6152686898331,126.715657922927,,,,,경기 김포시
잉꼬장식(근대상가건물),관광지,경기 오산시 오산로 296,37.1533174440587,127.068789467102,,,,,경기 오산시 오산로 296
웅담초분교(웅담리),관광지,경기 파주시 법원읍 수작골길 14,37.9141468185601,126.895686655639,,,,,경기 파주시 법원읍 수작골길 14
상패수변공원(옛 캠프 님블),관광지,경기도 동두천시 상패동 9-3,37.9141007029255,127.053695227703,,,,,경기 동두천시 상패동 9-3
용인레포츠(구 레포츠매니아),관광지,경기 용인시 처인구 양지면 죽양대로2071번길 50,37.2144247601424,127.313623341734,,,,,경기 용인시 처인구 양지면 죽양대로2071번길 50
상두리마을,관광지,경기 화성시 향남읍 솔태상두길 141,37.107685237922,126.946453542509,,,,,경기 화성시 향남읍 솔태상두길 141
파주 영국군 설마리 전투비,관광지,경기 파주시 적성면 구읍리 112-1,37.9469481224155,126.933515862309,,,,,경기 파주시 적성면 구읍리 112-1
한온장군충신정문,관광지,경기도 평택시 서탄면 금암리 593-3,37.1095643246822,127.033377063079,,,,,경기 평택시 서탄면 금암리 593-3
류자신 선생 묘 및 신도비,관광지,경기 시흥시 능곡동 산32,37.3707753277354,126.81904745327,,,,,경기 시흥시 능곡동 산 32
이야기오토캠핑,관광지,경기 포천시 소흘읍 직동길 44,37.7668125070822,127.169978319345,,,,,경기 포천시 소흘읍 직동길 44
다문화거리,관광지,경기 안산시 단원구 다문화길 16,37.3294415109406,126.790603302048,,,,,경기 안산시 단원구 다문화길 16
노성산정거장마을,관광지,경기 이천시 설성면 진상미로867번길 34-8,37.1407516858097,127.497931411528,,,,,경기 이천시 설성면 진상미로867번길 34-8
K-water 한탄강댐물문화관,관광지,경기도 연천군 연천읍 고문리 902,38.0630191091417,127.128640178496,,,,,경기 연천군 연천읍 고문리 902
옥란재,관광지,경기 화성시 서신면 영종이길 120-8,37.1420696414418,126.716779583189,,,,,경기 화성시 서신면 영종이길 120-8
성경의 벽,관광지,경기 양평군 서종면 잠실2길 35-55,37.6121562655733,127.380425062272,,,,,경기 양평군 서종면 잠실2길 35-55
새연리조트 가평현리1호점,관광지,경기 가평군 조종면 운악청계로333번길 86,37.8467479349494,127.346551706535,,,,,경기 가평군 조종면 운악청계로333번길 86
산장관광지,관광지,경기도 가평군 상면 덕현산장길 74,37.7543123391951,127.411915493288,,,,,경기 가평군 상면 덕현산장길 71
산바라기마을,관광지,경기 가평군 조종면 명지산로 46-27,37.8788067973897,127.361255967783,,,,,경기 가평군 조종면 명지산로 46-27
한국전쟁 미군참전 기념비,관광지,경기 가평군 북면 카이저길 45-23,37.8796764250138,127.526162206845,,,,,경기 가평군 북면 카이저길 45-23
드림아일랜드,관광지,경기 가평군 북면 가화로 2901,37.979260548157,127.446333786395,,,,,경기 가평군 북면 가화로 2901
가평하판리지진탑,관광지,경기 가평군 조종면 현등사길 34,37.8705894564319,127.331043423131,,,,,경기 가평군 조종면 현등사길 34
더어드벤처 아이스엔초비,관광지,경기 고양시 일산서구 한류월드로 300,37.6645540981816,126.754526582068,,,,,경기 고양시 일산서구 한류월드로 300
광주 조선백자 요지,관광지,경기도 광주시 남한산성면 해공로 91,37.4466135052952,127.268617781885,,,,,경기 광주시 남한산성면 해공로 91
문수산성,관광지,경기도 김포시 월곶면 포내리,37.7221658144034,126.534766498381,,,,,경기 김포시 월곶면 포내리
나비공원,관광지,경기도 김포시 구래동 6893-4,37.6399169421349,126.625116025618,,,,,경기 김포시 구래동 6893-4
용화사(김포),관광지,경기도 김포시 금포로 1487-5,37.6641607706548,126.67594643965,,,,,경기 김포시 금포로 1487-5
김포인삼쌀맥주갤러리,관광지,경기도 김포시 대곶면 대명항로 518,37.6465389501238,126.563759788708,,,,,경기 김포시 대곶면 대명항로 518
천보사,관광지,경기도 남양주시 불암산로 145 불암산천보사,37.6566091158358,127.095089387976,,,,,경기 남양주시 불암산로 145
밤섬유원지(밤섬랜드),관광지,경기 남양주시 진접읍 금강로 1032,37.6947900521184,127.163486448396,,,,,경기 남양주시 진접읍 금강로 1032
덕혜옹주묘,관광지,경기 남양주시 홍유릉로248번길 64-181,37.6288430891348,127.209727771868,,,,,경기 남양주시 홍유릉로248번길 64-181
더드림딸기체험농장,관광지,경기도 남양주시 조안면 북한강로626번길 82-25,37.5803654689337,127.331527938439,,,,,경기 남양주시 조안면 북한강로626번길 82-25
핸드앤몰트,관광지,경기도 남양주시 화도읍 폭포로 361-1,37.6341365878653,127.323604328164,,,,,경기 남양주시 화도읍 폭포로 361-1
수락산,관광지,서울 노원구,37.6543617567056,127.056430475216,,,,,서울 노원구
마차산,관광지,경기도 동두천시 안흥동,37.9305981459785,127.033068239674,,,,,경기 동두천시 안흥동
두드림뮤직센터,관광지,경기 동두천시 상패로216번길 42,37.9158470347767,127.056506826787,,,,,경기 동두천시 상패로216번길 42
노르웨이참전기념비,관광지,경기 동두천시 평화로2910번길 96-63,37.9425034056995,127.066057498597,,,,,경기 동두천시 평화로2910번길 96-63
모네정원,관광지,경기 부천시 고강로 79-13,37.5316151894825,126.811531383731,,,,,경기 부천시 오정구 고강로 79-13
부천 원종종합시장,관광지,경기도 부천시 삼작로 400,37.5195611639102,126.805866844348,,,,,경기 부천시 오정구 삼작로 400
부천 원미공원,관광지,경기도 부천시 원미구 소사로 456,37.4979851314859,126.799039821909,,,,,경기 부천시 원미구 소사로 456
부천 상동시장,관광지,경기 부천시 장말로200번길 48,37.490846370048,126.763510466808,,,,,경기 부천시 원미구 장말로200번길 48
부천 강남시장,관광지,경기도 부천시 옥산로154번길 21,37.5074983552359,126.781466291244,,,,,경기 부천시 원미구 옥산로154번길 21
펄벅기념관,관광지,경기도 부천시 성주로214번길 61,37.4755596787384,126.781706517433,,,,,경기 부천시 소사구 성주로214번길 61
약사사,관광지,경기 성남시 중원구 은행2동,37.4570439133907,127.166567003455,,,,,경기 성남시 중원구 은행2동
성프란치스코성당,관광지,경기 성남시 분당구 서판교로 125,37.397593869573,127.096615916117,,,,,경기 성남시 분당구 서판교로 125
성남아트센터,관광지,경기도 성남시 분당구 성남대로 808,37.4029565748635,127.130559855569,,,,,경기 성남시 분당구 성남대로 808
성남누비길,관광지,경기 성남시 수정구 창곡동 산70-29,37.4631736433716,127.155342871595,,,,,경기 성남시 수정구 창곡동 산 70-29
서현동 먹거리촌,관광지,경기도 성남시 분당구 새마을로 일대,,,,,,,
화랑공원,관광지,경기도 성남시 분당구 대왕판교로 609,37.3970837565959,127.106227477321,,,,,경기 성남시 분당구 대왕판교로 609
판교어린이천문대,관광지,경기 성남시 수정구 옛골로 64,37.4248044848914,127.06625569959,,,,,경기 성남시 수정구 옛골로 64
정토사(성남),관광지,경기도 성남시 수정구 옛골로42번길 3,37.4257557374277,127.067916747121,,,,,경기 성남시 수정구 옛골로42번길 3
금화상회,관광지,경기 수원시 팔달구 수원천로255번길 6,37.276815687652,127.018660256526,,,,,경기 수원시 팔달구 수원천로255번길 6
금보여인숙,관광지,경기 수원시 팔달구 화서문로72번길 11,37.2854539411963,127.016305091831,,,,,경기 수원시 팔달구 화서문로72번길 11
서북공심돈,관광지,경기 수원시 팔달구 장안동 332,37.2870882901833,127.012189219099,,,,,경기 수원시 팔달구 장안동 332
봉돈,관광지,경기도 수원시 팔달구 정조로 910,37.2888825673565,127.014257988807,,,,,경기 수원시 팔달구 정조로 910
아담스기념관,관광지,경기 수원시 팔달구 매향동 109,37.2839626161209,127.018262041621,,,,,경기 수원시 팔달구 수원천로 342
한국보훈복지의료공단 보훈원,관광지,경기 수원시 장안구 광교산로 97,37.2983742073078,127.026657220382,,,,,경기 수원시 장안구 광교산로 97
칠보생태환경체험교육관,관광지,경기 수원시 권선구 서수원로577번길 225,37.2767409337191,126.944968119193,,,,,경기 수원시 권선구 서수원로577번길 225
