name,category,address,lat,lng,benefitValue,discountPercent,benefit_source_url,benefit_note,address_enriched
정다방,카페,인천광역시 미추홀구 주안동 1329-17,37.44794281,126.6768383,,,,,인천광역시 미추홀구 인하로 260-6
동심다방,카페,인천광역시 미추홀구 숭의동 421-12,37.46286643,126.6411874,,,,,
밀다방,카페,인천광역시 미추홀구 주안동 201,37.46051478,126.6768725,,,,,인천광역시 미추홀구 석바위로 36
삼거리다방,카페,인천광역시 미추홀구 숭의동 129-77,37.46601943,126.6490544,,,,,인천광역시 미추홀구 참외전로 316 (숭의동)
영다방,카페,인천광역시 미추홀구 숭의동 285-4,37.46017699,126.6527019,,,,,인천광역시 미추홀구 독정이로 49 (숭의동)
밀월다방,카페,인천광역시 미추홀구 숭의동 173-1,37.46502181,126.6502628,,,,,인천광역시 미추홀구 경인로 66 (숭의동)
봉봉다방,카페,인천광역시 미추홀구 주안동 434-2,37.45812499,126.6823082,,,,,인천광역시 미추홀구 경인로 382 (주안동)
뷰커피숍,카페,인천광역시 미추홀구 주안동 186-14,37.45885669,126.6804003,,,,,"인천광역시 미추홀구 미추홀대로 690, 지하1층 (주안동)"
우봉다방,카페,인천광역시 미추홀구 주안동 201-14,37.46057827,126.6774564,,,,,인천광역시 미추홀구 석바위로 40-2 (주안동)
지성다방,카페,인천광역시 미추홀구 주안동 14-5,37.46729425,126.6774732,,,,,인천광역시 미추홀구 석정로 377 (주안동)
우림다방,카페,인천광역시 미추홀구 주안동 18-69,37.46837436,126.684544,,,,,인천광역시 미추홀구 석정로433번길 41 (주안동)
주란다방,카페,인천광역시 미추홀구 용현동 206-1,37.45381932,126.6487782,,,,,인천광역시 미추홀구 독배로 382 (용현동)
신동일다방,카페,인천광역시 미추홀구 숭의동 162-13,37.46268382,126.64352,,,,,인천광역시 미추홀구 경인로 1 (숭의동)
새행복다방,카페,인천광역시 미추홀구 용현동 150-1,37.45473025,126.6589938,,,,,인천광역시 미추홀구 인주대로 200 (용현동)
보석다방,카페,"인천광역시 미추홀구 주안동 956-1 ,13,14 ",37.45843328,126.6898253,,,,,"인천광역시 미추홀구 경원대로 848 (주안동,,13,14)"
신상록수다방,카페,인천광역시 미추홀구 주안동 1556-14,37.45460033,126.6919719,,,,,인천광역시 미추홀구 구월남로 20 (주안동)
그다방,카페,인천광역시 미추홀구 주안동 719-10,37.45229114,126.6698185,,,,,"인천광역시 미추홀구 인주대로 299, 지하1층 (주안동)"
약속다방,카페,인천광역시 미추홀구 주안동 22-49,37.46605653,126.686341,,,,,"인천광역시 미추홀구 석정로456번길 3, 지하1층 (주안동)"
향록수다방,카페,인천광역시 미추홀구 주안동 1588-11,37.45886228,126.6927674,,,,,인천광역시 미추홀구 경인로 476 (주안동)
경기다방,카페,인천광역시 미추홀구 주안동 801-6,37.45119197,126.6675591,,,,,인천광역시 미추홀구 한나루로 496-3 (주안동)
진주다방,카페,인천광역시 미추홀구 용현동 473-20,37.45775181,126.6490931,,,,,"인천광역시 미추홀구 독배로 429, 지하층 (용현동)"
강다방,카페,인천광역시 미추홀구 주안동 1499-26,37.44819365,126.6852843,,,,,"인천광역시 미추홀구 인하로 333, 지하1층 (주안동)"
수정다방,카페,인천광역시 미추홀구 학익동 4-15,37.4462884,126.6677171,,,,,"인천광역시 미추홀구 학익소로 5, 지하1층 (학익동)"
