name,category,address,lat,lng,benefitValue,discountPercent,benefit_source_url,benefit_note,address_enriched
편가네된장,음식점,인천광역시 강화군 화도면 가능포로89번길 11,37.64067737,126.4193839,,,,,인천광역시 강화군 화도면 가능포로89번길 11
카페힐로 서창,음식점,인천광역시 남동구 서창남로 69 (서창동),37.42534711,126.7486904,,,,,인천광역시 남동구 서창남로 69
장흥숯불장어,음식점,인천광역시 강화군 길상면 장흥로 11-8,37.61182413,126.5184229,,,,,인천광역시 강화군 길상면 장흥로 11-8
바다앞농장,음식점,인천광역시 중구 은하수로 10 (중산동),37.49212806,126.5812705,,,,,인천광역시 중구 은하수로 10
달다1078,음식점,인천광역시 부평구 경인로 1078 (부개동),37.48628153,126.739534,,,,,인천광역시 부평구 경인로 1078
동막돌솥촌,음식점,인천광역시 강화군 화도면 해안남로 1632,37.59636904,126.4421969,,,,,인천광역시 강화군 화도면 해안남로 1632
아이케이라이트하우스(일광전구라이트하우스),음식점,인천광역시 중구 참외전로174번길 8-1 (경동),37.47217577,126.6350772,,,,,인천광역시 중구 참외전로174번길 8-1
송도우리갈비,음식점,인천광역시 연수구 능허대로 208 (옥련동),37.41734352,126.6499718,,,,,인천광역시 연수구 능허대로 208
카츠오모이 청라점,음식점,인천광역시 서구 청라커낼로 270 (청라동),37.5325717,126.6449913,,,,,인천광역시 서구 청라커낼로 270
꽃피는산골,음식점,인천광역시 남동구 수골로 34 (논현동),37.410826,126.7165159,,,,,인천광역시 남동구 수골로 34
빠레뜨한남 송도센트럴파크점,음식점,"인천광역시 연수구 센트럴로 160 (송도동, 송도센트럴파크푸르지오)",37.39238242,126.643737,,,,,인천광역시 연수구 센트럴로 160 송도센트럴파크푸르지오
장수가든,음식점,인천광역시 남동구 수현로14번길 13-7 (장수동),37.46405098,126.750603,,,,,인천광역시 남동구 수현로14번길 13-7
안동국밥&봉평메밀촌,음식점,인천광역시 연수구 아트센터대로 107 (송도동),37.40100077,126.6386289,,,,,인천광역시 연수구 아트센터대로 107
육가대표 청라,음식점,인천광역시 서구 청라커낼로 229-12 (청라동),37.5290943,126.6436776,,,,,인천광역시 서구 청라커낼로 229-12
마니산산채,음식점,인천광역시 강화군 화도면 해안남로 1182,37.61095092,126.456348,,,,,인천광역시 강화군 화도면 해안남로 1182
한양 한옥마을점,음식점,인천광역시 연수구 테크노파크로 180 (송도동),37.3909075,126.6389152,,,,,인천광역시 연수구 테크노파크로 180
백합칼국수 송도점,음식점,인천광역시 연수구 센트럴로 263 (송도동),37.39810936,126.6339738,,,,,인천광역시 연수구 센트럴로 263
배터지는게장,음식점,인천광역시 남동구 수현로 27 (장수동),37.4632316,126.7491421,,,,,인천광역시 남동구 수현로 27
꽃게담다 by 블루베리팜,음식점,인천광역시 남동구 찬우물로 21 (수산동),37.43815622,126.7200732,,,,,인천광역시 남동구 찬우물로 21 (수산동)
커피상회,음식점,인천광역시 계양구 성안길 22 (갈현동),37.58090083,126.7251937,,,,,인천광역시 계양구 성안길 22
송돗골,음식점,인천광역시 연수구 앵고개로103번길 15 (동춘동),37.41371074,126.6576129,,,,,인천광역시 연수구 앵고개로103번길 15
진복호 신관,음식점,인천광역시 강화군 길상면 해안남로 488,37.5977284,126.5096407,,,,,인천광역시 강화군 길상면 해안남로 488
토담식당,음식점,인천광역시 중구 개항로96번길 13-22 (경동),37.47174247,126.633894,,,,,인천광역시 중구 개항로96번길 13-22
등대숯불장어,음식점,인천광역시 강화군 길상면 초지로 142,37.62843913,126.5332433,,,,,인천광역시 강화군 길상면 초지로 142
대하해물탕,음식점,"인천광역시 부평구 장제로91번길 24-5 (부평동, 삼성아파트)",37.4940971,126.7285875,,,,,인천광역시 부평구 장제로91번길 24-5
전동삼치,음식점,인천광역시 중구 홍예문로68번길 29 (전동),37.47604187,126.6286055,,,,,인천광역시 중구 홍예문로68번길 29
고려한방삼계탕,음식점,인천광역시 미추홀구 인주대로 404 (주안동),37.45103738,126.6814236,,,,,인천광역시 미추홀구 인주대로 404
고목정쌈밥,음식점,인천광역시 중구 용유서로172번길 10 (을왕동),37.44871585,126.3889725,,,,,인천광역시 중구 용유서로172번길 10
미들웨이,음식점,인천광역시 서구 청라커낼로329번길 9 (청라동),37.53792661,126.6436524,,,,,인천광역시 서구 청라커낼로329번길 9
양산박삼치,음식점,인천광역시 중구 홍예문로68번길 28 (전동),37.4758169,126.6286277,,,,,인천광역시 중구 홍예문로68번길 28
만정수산,음식점,인천광역시 중구 영종순환로339번길 85 (중산동),37.51159179,126.5431095,,,,,인천광역시 중구 영종순환로339번길 85 (중산동)
