name,category,address,lat,lng,benefitValue,discountPercent,benefit_source_url,benefit_note,address_enriched
센트럴파크,놀거리,인천광역시 연수구 송도동 24-5,37.39036508,126.6435679,,,,,인천광역시연수구 컨벤시아대로 160
해돋이공원,놀거리,인천광역시 연수구 송도동 5-1,37.38582193,126.6590477,,,,,인천광역시 연수구 해돋이로 7
미추홀공원,놀거리,인천광역시 연수구 송도동 9-1,37.38238717,126.6494992,,,,,인천광역시 연수구 해송로 59 (송도동)
새아침공원,놀거리,인천광역시 연수구 송도동 2-1,37.39798134,126.6536494,,,,,인천광역시 연수구 컨벤시아대로 43
신송공원,놀거리,인천광역시 연수구 송도동 3-41,37.39049361,126.6584207,,,,,인천광역시 연수구 해돋이로38번길 39
달빛공원,놀거리,인천광역시 연수구 송도동 1,37.39543995,126.6593123,,,,,인천광역시 연수구 아암대로 764
달빛축제공원,놀거리,인천광역시 연수구 송도동 26-1,37.40785375,126.6325097,,,,,인천광역시 연수구 센트럴로 350
솔찬공원,놀거리,인천광역시 연수구 송도동 12-8,37.3725361,126.6278979,,,,,인천광역시 연수구 컨벤시아대로391번길 20
씨사이드파크,놀거리,인천광역시 중구 운남동 1640-1,37.47860421,126.5571779,,,,,인천광역시 중구 영종대로 842-58
청라호수공원,놀거리,인천광역시 서구 청라동 106-2,37.5306152,126.6362978,,,,,인천광역시 서구 크리스탈로 59
인천대공원,놀거리,인천광역시 남동구 장수동 산78,37.45859492,126.7519687,,,,,인천광역시 남동구 무네미로 238
소래습지생태공원,놀거리,인천광역시 남동구 논현동 1-17,37.40736572,126.7463366,,,,,인천광역시 남동구 소래로154번길 77
중앙공원,놀거리,인천광역시 미추홀구 관교동 14,37.44190585,126.6996904,,,,,인천광역시 미추홀구 예술로 85
남항공원,놀거리,인천광역시 중구 신흥동3가 69,37.43534683,126.6286205,,,,,인천광역시 중구 서해대로94번길 93
장미공원,놀거리,인천광역시 연수구 연수동 137-3,37.42663202,126.6778426,,,,,인천광역시 연수구 함박안로 27
월미공원,놀거리,인천광역시 중구 북성동1가 99,37.47110094,126.6038829,,,,,인천광역시 중구 월미로 419
계양근린공원,놀거리,인천광역시 계양구 계산동 산52-1,37.550131,126.7233835,,,,,"인천광역시 계양구 계양산로75번길 26 (계산동, 계양공원관리소)"
연희근린공원,놀거리,인천광역시 서구 연희동 산129,37.54285215,126.6628278,,,,,인천광역시 서구 봉수대로 755
경명공원,놀거리,인천광역시 서구 연희동 200,37.5508632,126.6696767,,,,,인천광역시 서구 승학로333번길 34
장고개근린공원,놀거리,인천광역시 서구 가좌동 산150-3,37.49474058,126.6911607,,,,,인천광역시 서구 장고개로 390
